index,name,name_clean,category,category_clean,rating,rating_clean,total_reviews,address,kecamatan,wilayah,phone,phone_clean,has_phone,website,website_clean,has_website,hours,coordinates,latitude,longitude,scraped_at
1,"PAPER & SIP | Coffee, Croissant & Roastery","PAPER & SIP | Coffee, Croissant & Roastery",Kedai Kopi,Kedai Kopi,"4,8",4.8,,"Jl. Aria Jipang No.22, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",Kesambi,Kota Cirebon,0822-1939-2789,0822-1939-2789,True,,,False,,"-6.7295044,108.4773185",-6.7295044,108.4773185,2026-01-31 13:36:03
2,Limalas Cafe,Limalas Cafe,Kafe,Kafe,"4,8",4.8,,"Jl. Kusuma Indah II No.2, Setu Kulon, Kec. Weru, Kabupaten Cirebon, Jawa Barat 45154",Weru,Kabupaten Cirebon,0819-9315-1515,0819-9315-1515,True,http://lynk.id/limalascafe,http://lynk.id/limalascafe,True,,"-6.7295044,108.4773185",-6.7295044,108.4773185,2026-01-31 13:36:07
3,Jiwan Coffee & Things Cirebon,Jiwan Coffee & Things Cirebon,Kafe,Kafe,"4,5",4.5,,"Jl. R.Dewi Sartika No.58, Kenanga, Kec. Sumber, Kabupaten Cirebon, Jawa Barat 45155",Sumber,Kabupaten Cirebon,0857-2206-2226,0857-2206-2226,True,https://sites.google.com/view/jiwancoffeeandthingscrb/click-here-for-more,https://sites.google.com/view/jiwancoffeeandthingscrb/click-here-for-more,True,,"-6.7570612,108.3913735",-6.7570612,108.3913735,2026-01-31 13:36:12
4,Famouz Cafe,Famouz Cafe,Kafe,Kafe,"4,3",4.3,,"Jl. Tuparev No.88A, Pilangsari, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Kedawung,Kabupaten Cirebon,0811-2111-2210,0811-2111-2210,True,,,False,,"-6.7570612,108.3913735",-6.7570612,108.3913735,2026-01-31 13:36:16
5,Sae Coffee & Dining,Sae Coffee & Dining,Restoran,Restoran,"4,8",4.8,,"Blok Dukusetu 1, Blok Desa No.45155, Bodesari, Kec. Plumbon, Kabupaten Cirebon, Jawa Barat 45155",Plumbon,Kabupaten Cirebon,0811-1118-8388,0811-1118-8388,True,https://www.instagram.com/sae.coffeeanddining/,https://www.instagram.com/sae.coffeeanddining/,True,,"-6.7570612,108.3913735",-6.7570612,108.3913735,2026-01-31 13:36:20
6,E Space Coffee,E Space Coffee,Kedai Kopi,Kedai Kopi,"4,6",4.6,,"Jl. Tentara Pelajar No.11, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45153",Kesambi,Kota Cirebon,0895-0496-4442,0895-0496-4442,True,,,False,,"-6.715901,108.4798924",-6.715901,108.4798924,2026-01-31 13:36:24
7,Domoid Coffee and Resto,Domoid Coffee and Resto,Kedai Kopi,Kedai Kopi,"4,7",4.7,,"Jl. DR. Sudarsono No.45, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45134",Kesambi,Kota Cirebon,0819-0819-2090,0819-0819-2090,True,,,False,,"-6.715901,108.4798924",-6.715901,108.4798924,2026-01-31 13:36:28
8,Loko Cafe - Cirebon,Loko Cafe - Cirebon,Kafe,Kafe,"4,4",4.4,,"Jl. Kartini No.24, Kejaksan, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45122",Kejaksan,Kota Cirebon,,,False,https://instagram.com/lokocafe?igshid=OTJlNzQ0NWM=,https://instagram.com/lokocafe?igshid=OTJlNzQ0NWM=,True,,"-6.715901,108.4798924",-6.715901,108.4798924,2026-01-31 13:36:32
9,Kopi Nako Cirebon,Kopi Nako Cirebon,Kedai Kopi,Kedai Kopi,"4,7",4.7,,"Jl. Terusan Cipto No.8-6, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45153",Kesambi,Kota Cirebon,0821-2473-5457,0821-2473-5457,True,,,False,,"-6.715901,108.4798924",-6.715901,108.4798924,2026-01-31 13:36:37
10,Oksigen Coffee Cirebon,Oksigen Coffee Cirebon,Kedai Kopi,Kedai Kopi,"4,7",4.7,,"Jl. DR. Sutomo No.31, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",Kesambi,Kota Cirebon,0822-1766-7181,0822-1766-7181,True,,,False,,"-6.715901,108.4798924",-6.715901,108.4798924,2026-01-31 13:36:43
