index,name,category,rating,total_reviews,address,phone,website,hours,coordinates,scraped_at
1,"PAPER & SIP | Coffee, Croissant & Roastery",Kedai Kopi,"4,8",N/A,"Jl. Aria Jipang No.22, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",0822-1939-2789,N/A,N/A,"-6.7295044,108.4773185",2026-01-31 13:36:03
2,Limalas Cafe,Kafe,"4,8",N/A,"Jl. Kusuma Indah II No.2, Setu Kulon, Kec. Weru, Kabupaten Cirebon, Jawa Barat 45154",0819-9315-1515,http://lynk.id/limalascafe,N/A,"-6.7295044,108.4773185",2026-01-31 13:36:07
3,Jiwan Coffee & Things Cirebon,Kafe,"4,5",N/A,"Jl. R.Dewi Sartika No.58, Kenanga, Kec. Sumber, Kabupaten Cirebon, Jawa Barat 45155",0857-2206-2226,https://sites.google.com/view/jiwancoffeeandthingscrb/click-here-for-more,N/A,"-6.7570612,108.3913735",2026-01-31 13:36:12
4,Famouz Cafe,Kafe,"4,3",N/A,"Jl. Tuparev No.88A, Pilangsari, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",0811-2111-2210,N/A,N/A,"-6.7570612,108.3913735",2026-01-31 13:36:16
5,Sae Coffee & Dining,Restoran,"4,8",N/A,"Blok Dukusetu 1, Blok Desa No.45155, Bodesari, Kec. Plumbon, Kabupaten Cirebon, Jawa Barat 45155",0811-1118-8388,https://www.instagram.com/sae.coffeeanddining/,N/A,"-6.7570612,108.3913735",2026-01-31 13:36:20
6,E Space Coffee,Kedai Kopi,"4,6",N/A,"Jl. Tentara Pelajar No.11, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45153",0895-0496-4442,N/A,N/A,"-6.715901,108.4798924",2026-01-31 13:36:24
7,Domoid Coffee and Resto,Kedai Kopi,"4,7",N/A,"Jl. DR. Sudarsono No.45, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45134",0819-0819-2090,N/A,N/A,"-6.715901,108.4798924",2026-01-31 13:36:28
8,Loko Cafe - Cirebon,Kafe,"4,4",N/A,"Jl. Kartini No.24, Kejaksan, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45122",N/A,https://instagram.com/lokocafe?igshid=OTJlNzQ0NWM=,N/A,"-6.715901,108.4798924",2026-01-31 13:36:32
9,Kopi Nako Cirebon,Kedai Kopi,"4,7",N/A,"Jl. Terusan Cipto No.8-6, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45153",0821-2473-5457,N/A,N/A,"-6.715901,108.4798924",2026-01-31 13:36:37
10,Oksigen Coffee Cirebon,Kedai Kopi,"4,7",N/A,"Jl. DR. Sutomo No.31, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",0822-1766-7181,N/A,N/A,"-6.715901,108.4798924",2026-01-31 13:36:43
11,Oksigen Coffee Cirebon,N/A,"4,7",N/A,"Jl. Talang No.4, Lemahwungkuk, Kec. Lemahwungkuk, Kota Cirebon, Jawa Barat 45111",0822-1885-0853,https://instagram.com/niricafe.id?igshid=YmMyMTA2M2Y=,N/A,"-6.715901,108.4798924",2026-01-31 13:36:51
12,Kopi Manao,Kafe,"4,7",N/A,"Jl. Tuparev No.64, Kedungjaya, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",0811-2233-0575,N/A,N/A,"-6.715901,108.4798924",2026-01-31 13:36:56
13,71 Cafe & Resto,Restoran,"4,7",N/A,"Jl. Fatahillah, Watubelah, Kec. Sumber, Kabupaten Cirebon, Jawa Barat",0821-1956-9001,N/A,N/A,"-6.7429217,108.4162685",2026-01-31 13:37:00
